time_ps,raw_memory_ps2,fitted_memory_ps2
3.870000000000e-01,-7.255607324095e-02,-7.253708225743e-02
3.880000000000e-01,-7.479822326154e-02,-7.477958209770e-02
3.890000000000e-01,-7.700331672553e-02,-7.698460993284e-02
3.900000000000e-01,-7.917064770612e-02,-7.915258031647e-02
3.910000000000e-01,-8.130216378921e-02,-8.128401824906e-02
3.920000000000e-01,-8.339744956626e-02,-8.337902005110e-02
3.930000000000e-01,-8.545576477085e-02,-8.543737078602e-02
3.940000000000e-01,-8.747700052137e-02,-8.745927162236e-02
3.950000000000e-01,-8.946319827055e-02,-8.944529067961e-02
3.960000000000e-01,-9.141312586288e-02,-9.139591058946e-02
3.970000000000e-01,-9.332912660841e-02,-9.331159114610e-02
3.980000000000e-01,-9.520961564773e-02,-9.519264326827e-02
3.990000000000e-01,-9.705640176891e-02,-9.703956624915e-02
4.000000000000e-01,-9.886927371054e-02,-9.885305658851e-02
4.010000000000e-01,-1.006498917143e-01,-1.006339014726e-01
4.020000000000e-01,-1.023985527466e-01,-1.023827356176e-01
4.030000000000e-01,-1.041153620365e-01,-1.041001924513e-01
4.040000000000e-01,-1.058019867164e-01,-1.057870526821e-01
4.050000000000e-01,-1.074590791673e-01,-1.074436529343e-01
4.060000000000e-01,-1.090847737938e-01,-1.090700190030e-01
4.070000000000e-01,-1.106812574921e-01,-1.106666223307e-01
4.080000000000e-01,-1.122482846497e-01,-1.122340603910e-01
4.090000000000e-01,-1.137871957983e-01,-1.137726818579e-01
4.100000000000e-01,-1.152968065459e-01,-1.152826439826e-01
4.110000000000e-01,-1.167778149466e-01,-1.167645259736e-01
4.120000000000e-01,-1.182331090163e-01,-1.182188634717e-01
4.130000000000e-01,-1.196590849027e-01,-1.196456537942e-01
4.140000000000e-01,-1.210582843242e-01,-1.210455756684e-01
4.150000000000e-01,-1.224324000560e-01,-1.224196272162e-01
4.160000000000e-01,-1.237807742923e-01,-1.237683222808e-01
4.170000000000e-01,-1.251042404825e-01,-1.250921180435e-01
4.180000000000e-01,-1.264036265647e-01,-1.263914076968e-01
4.190000000000e-01,-1.276786515267e-01,-1.276661219438e-01
4.200000000000e-01,-1.289285344872e-01,-1.289158932242e-01
4.210000000000e-01,-1.301530571834e-01,-1.301405768041e-01
4.220000000000e-01,-1.313523638295e-01,-1.313406456579e-01
4.230000000000e-01,-1.325283953418e-01,-1.325171428580e-01
4.240000000000e-01,-1.336817659968e-01,-1.336711697906e-01
4.250000000000e-01,-1.348145127852e-01,-1.348033160629e-01
4.260000000000e-01,-1.359244704935e-01,-1.359134477796e-01
4.270000000000e-01,-1.370125548827e-01,-1.370014683275e-01
4.280000000000e-01,-1.380781238023e-01,-1.380677430410e-01
4.290000000000e-01,-1.391230167522e-01,-1.391131837543e-01
4.300000000000e-01,-1.401483719926e-01,-1.401387772858e-01
4.310000000000e-01,-1.411544066242e-01,-1.411451791864e-01
4.320000000000e-01,-1.421425848089e-01,-1.421324201293e-01
4.330000000000e-01,-1.431099413290e-01,-1.430999822365e-01
4.340000000000e-01,-1.440569974312e-01,-1.440481744359e-01
4.350000000000e-01,-1.449868927760e-01,-1.449781388312e-01
4.360000000000e-01,-1.458991913976e-01,-1.458905334837e-01
4.370000000000e-01,-1.467944152279e-01,-1.467853270242e-01
4.380000000000e-01,-1.476712853444e-01,-1.476622152925e-01
4.390000000000e-01,-1.485297020133e-01,-1.485213844525e-01
4.400000000000e-01,-1.493717703637e-01,-1.493636075273e-01
4.410000000000e-01,-1.501974261823e-01,-1.501895949837e-01
4.420000000000e-01,-1.510072513915e-01,-1.510000663688e-01
4.430000000000e-01,-1.518031433987e-01,-1.517955996300e-01
4.440000000000e-01,-1.525838629411e-01,-1.525761071976e-01
4.450000000000e-01,-1.533488596394e-01,-1.533414209390e-01
4.460000000000e-01,-1.540989988287e-01,-1.540918998690e-01
4.470000000000e-01,-1.548348621963e-01,-1.548282143371e-01
4.480000000000e-01,-1.555577171545e-01,-1.555509038389e-01
4.490000000000e-01,-1.562666736823e-01,-1.562602504545e-01
4.500000000000e-01,-1.569629052454e-01,-1.569566193144e-01
4.510000000000e-01,-1.576466491201e-01,-1.576402919495e-01
4.520000000000e-01,-1.583175610019e-01,-1.583113705311e-01
4.530000000000e-01,-1.589761888828e-01,-1.589699886720e-01
